TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
T000001,2025-04-13,Smartphone,Electronics,North,Offline,4,68655,274620,Net Banking,C01057
T000002,2025-12-15,Gaming Chair,Furniture,East,Online,4,11949,47796,Credit Card,C00011
T000003,2025-09-28,Power Bank,Accessories,East,Online,4,3267,13068,Cash,C01468
T000004,2025-04-17,Smartwatch,Accessories,East,Offline,1,10010,10010,Credit Card,C01778
T000005,2025-03-13,Webcam,Accessories,North,Offline,2,8939,17878,Cash,C01782
T000006,2025-07-08,Headphones,Accessories,East,Offline,3,1016,3048,Cash,C02238
T000007,2025-01-21,Printer,Electronics,West,Offline,3,13959,41877,Net Banking,C01839
T000008,2025-04-13,Power Bank,Accessories,South,Online,1,3822,3822,Net Banking,C01425
T000009,2025-05-02,Smartwatch,Accessories,West,Online,1,15185,15185,Cash,C00842
T000010,2025-08-03,Printer,Electronics,North,Offline,2,19303,38606,Credit Card,C01608
T000011,2025-11-27,Speaker,Accessories,East,Offline,4,2766,11064,UPI,C02293
T000012,2025-03-29,Printer,Electronics,South,Offline,1,6478,6478,Cash,C02441
T000013,2025-04-10,Gaming Chair,Furniture,East,Offline,5,28680,143400,Net Banking,C01107
T000014,2025-12-26,Smartphone,Electronics,East,Online,4,18977,75908,Credit Card,C01138
T000015,2025-06-01,Gaming Chair,Furniture,South,Online,1,14068,14068,Credit Card,C01093
T000016,2025-05-11,Webcam,Accessories,South,Online,5,5774,28870,UPI,C00813
T000017,2025-05-30,Printer,Electronics,West,Offline,2,18740,37480,UPI,C00107
T000018,2025-11-05,Tablet,Electronics,West,Online,5,32797,163985,Cash,C00360
T000019,2025-09-15,Headphones,Accessories,West,Offline,1,8791,8791,Credit Card,C02198
T000020,2025-12-10,Laptop,Electronics,West,Online,3,50485,151455,Cash,C00930
T000021,2025-10-21,Gaming Chair,Furniture,West,Online,1,20280,20280,Cash,C01862
T000022,2025-07-11,Laptop,Electronics,North,Online,3,80695,242085,Credit Card,C00099
T000023,2025-10-04,Laptop,Electronics,North,Offline,2,87441,174882,Net Banking,C01969
T000024,2025-06-10,Printer,Electronics,East,Online,2,6337,12674,Credit Card,C00812
T000025,2025-11-10,Speaker,Accessories,East,Offline,4,10552,42208,Cash,C01838
T000026,2025-01-22,Monitor,Electronics,West,Online,4,23092,92368,UPI,C01921
T000027,2025-09-10,Smartwatch,Accessories,East,Online,3,4003,12009,Credit Card,C01876
T000028,2025-08-24,Smartwatch,Accessories,North,Online,3,3471,10413,Net Banking,C00599
T000029,2025-12-11,Printer,Electronics,North,Offline,2,29111,58222,UPI,C02350
T000030,2025-02-18,Tablet,Electronics,East,Online,5,37696,188480,Credit Card,C01241
T000031,2025-02-28,Tablet,Electronics,West,Offline,3,16489,49467,Net Banking,C01608
T000032,2025-06-19,Mouse,Accessories,North,Online,3,1101,3303,Cash,C02229
T000033,2025-07-07,Printer,Electronics,South,Online,5,26772,133860,UPI,C01441
T000034,2025-09-28,Keyboard,Accessories,South,Online,4,4735,18940,Net Banking,C00685
T000035,2025-07-09,Gaming Chair,Furniture,East,Online,4,17365,69460,Net Banking,C02240
T000036,2025-06-24,Smartphone,Electronics,West,Offline,3,49373,148119,Cash,C02142
